,FLIGHT,DISTANCE,CRS_ELAPSED_TIME
439,CLE|MSP|DL,622.0,127.0
1363,GEG|SEA|DL,224.0,73.0
1916,SEA|GEG|DL,224.0,62.0
3862,MDT|DTW|DL,371.0,93.0
4156,IAH|LGA|DL,1416.0,211.0
4206,MSP|IAH|DL,1034.0,181.0
4826,LGA|IAH|DL,1416.0,256.0
5026,SEA|BOS|DL,2496.0,328.0
6948,BOS|SEA|DL,2496.0,393.0
7181,DTW|MDT|DL,371.0,80.0
9160,AUS|PHL|AA,1430.0,202.0
9161,PHL|AUS|AA,1430.0,231.0
33931,BDL|MCO|DL,1050.0,184.0
33932,MCO|BDL|DL,1050.0,167.0
60779,LGA|OMA|DL,1148.0,215.0
66759,OMA|LGA|DL,1148.0,174.0
68691,SEA|FAI|DL,1533.0,240.0
68703,BTR|JAN|EV,138.0,49.0
69034,GSP|DFW|EV,862.0,159.0
69195,BHM|DFW|EV,597.0,132.0
69221,DFW|BHM|EV,597.0,103.0
70799,DFW|GSP|EV,862.0,136.0
70847,DRO|DFW|EV,674.0,114.0
70873,DFW|DRO|EV,674.0,122.0
73794,DFW|MGM|EV,622.0,106.0
73820,MGM|DFW|EV,622.0,120.0
77848,CRP|DFW|EV,354.0,83.0
77870,DFW|CRP|EV,354.0,82.0
86032,AGS|LGA|DL,678.0,120.0
145948,EWR|MKE|UA,725.0,149.0
158699,MDW|DAY|WN,226.0,65.0
158733,MDW|FNT|WN,221.0,60.0
158735,MDW|GRR|WN,137.0,50.0
158942,MSP|BWI|WN,936.0,150.0
159321,PHX|ICT|WN,870.0,135.0
159835,BWI|MSP|WN,936.0,165.0
160846,SEA|STL|WN,1709.0,240.0
161150,STL|DSM|WN,259.0,65.0
161161,STL|ICT|WN,392.0,80.0
161212,STL|SEA|WN,1709.0,255.0
161413,ATL|GSP|WN,153.0,55.0
162079,DSM|STL|WN,259.0,60.0
162132,EWR|LAS|WN,2227.0,330.0
162133,EWR|MCO|WN,937.0,165.0
162197,FNT|MDW|WN,221.0,60.0
162212,GRR|MDW|WN,137.0,55.0
