,AIRPORT_ID,CODE,CITY,STATE
294759,12915,LCH,Lake Charles, LA
300515,12206,HRL,Harlingen/San Benito, TX
301626,14711,SCE,State College, PA
308473,11203,CWA,Mosinee, WI
310812,13795,OAJ,Jacksonville/Camp Lejeune, NC
310837,11537,ELM,Elmira/Corning, NY
310912,15607,VLD,Valdosta, GA
310987,13277,MGM,Montgomery, AL
313170,10581,BGR,Bangor, ME
314073,12007,GTR,Columbus, MS
315482,11150,CSG,Columbus, GA
316634,10731,BQK,Brunswick, GA
316863,11308,DHN,Dothan, AL
318158,11617,EWN,New Bern/Morehead/Beaufort, NC
320976,10146,ABY,Albany, GA
338095,12391,ISP,Islip, NY
352363,12888,LAR,Laramie, WY
72125,14960,SPS,Wichita Falls, TX
72181,14842,SJT,San Angelo, TX
72938,11905,GGG,Longview, TX
268491,10558,BFF,Scottsbluff, NE
330764,15897,WYS,West Yellowstone, MT
460326,10154,ACK,Nantucket, MA
466822,13541,MVY,Martha's Vineyard, MA
473316,12250,HYA,Hyannis, MA
45113,11997,GST,Gustavus, AK
45175,10245,AKN,King Salmon, AK
45179,11336,DLG,Dillingham, AK
77090,11867,GCK,Garden City, KS
78026,13290,MHK,Manhattan/Ft. Riley, KS
78362,10136,ABI,Abilene, TX
326395,11980,GRI,Grand Island, NE
217837,11495,EFD,Houston, TX
116111,14082,PGD,Punta Gorda, FL
446157,14955,SPN,Saipan, TT
286208,11563,ENV,Wendover, UT
