,alpha,flight,l1_ratio
180,0.1,DCA|MIA|AA,0.0
181,0.1,MSY|HOU|WN,0.0
182,0.1,MCO|EWR|UA,0.0
183,0.1,LGA|CLT|AA,0.5
184,0.1,MIA|DCA|AA,0.0
185,0.1,CLT|LGA|AA,0.0
186,0.1,DFW|SAN|AA,0.0
187,0.1,MCO|MIA|AA,0.0
188,0.01,JFK|LAX|B6,0.0
189,0.1,LAX|JFK|B6,0.0
190,0.01,IND|ATL|DL,0.0
191,0.1,ATL|IND|DL,0.0
192,0.01,BOS|ORD|AA,0.0
193,0.1,SAN|DFW|AA,0.0
194,0.1,MIA|MCO|AA,0.0
195,1e-06,IAD|SFO|UA,1.0
196,0.01,RIC|ATL|DL,1.0
197,0.1,DFW|DCA|AA,0.0
198,0.1,ATL|RIC|DL,0.0
199,0.1,CLT|PHL|AA,0.0
200,0.1,DFW|PHL|AA,0.0
201,0.1,SAN|SMF|WN,0.0
202,0.1,PHL|DFW|AA,0.0
203,0.1,SMF|SAN|WN,0.0
204,0.1,BOS|BWI|WN,0.0
205,0.1,ATL|ORF|DL,0.0
206,0.1,ORF|ATL|DL,1.0
207,0.1,EWR|ORD|UA,0.0
208,0.1,LAS|DEN|WN,0.0
209,0.1,DCA|DFW|AA,0.0
210,0.1,BWI|BOS|WN,0.0
211,0.01,ATL|SDF|DL,1.0
212,0.001,SDF|ATL|DL,1.0
213,0.1,DEN|LAS|WN,0.0
214,0.1,CLT|EWR|AA,0.0
215,0.1,EWR|CLT|AA,0.0
216,0.1,PHX|LAX|WN,0.0
217,0.1,ORD|PHX|AA,0.0
218,0.1,PHX|ORD|AA,0.0
219,0.1,LAX|PHX|WN,0.0
220,0.1,SJC|LAS|WN,0.0
221,0.1,OAK|LAS|WN,0.0
222,0.1,LAS|SJC|WN,0.0
223,0.1,LAS|OAK|WN,0.0
224,1e-06,MDW|DEN|WN,0.0
225,0.01,BOS|EWR|UA,0.0
226,0.1,LGA|DTW|DL,0.0
227,0.1,DFW|SNA|AA,0.5
228,0.1,SNA|DFW|AA,0.0
229,0.1,DTW|LGA|DL,0.0
230,0.1,ATL|PIT|DL,0.0
231,0.1,CLT|ORD|AA,0.0
232,0.01,SEA|LAS|AS,1.0
233,1e-06,PIT|ATL|DL,1.0
234,0.01,ATL|MCI|DL,0.0
235,1e-06,LAS|SEA|AS,1.0
236,1e-06,MCI|ATL|DL,1.0
237,0.1,MCO|JFK|B6,0.0
238,0.1,JFK|MCO|B6,0.0
239,0.1,SFO|LAX|WN,0.0
240,0.1,CLT|MCO|AA,0.0
241,0.1,EWR|BOS|UA,0.0
242,0.1,MCO|CLT|AA,0.0
243,0.1,CLT|BOS|AA,0.0
244,0.1,SMF|LAX|WN,0.0
245,0.1,ORD|CLT|AA,0.0
246,0.01,CMH|ATL|DL,1.0
247,0.1,DEN|MDW|WN,1.0
248,0.1,ATL|CMH|DL,1.0
249,1e-06,MDW|LAS|WN,1.0
250,0.1,SNA|SJC|WN,0.0
251,0.1,LAX|SFO|WN,0.0
252,0.01,BOS|CLT|AA,0.0
253,0.1,TPA|CLT|AA,0.0
254,1e-06,ATL|SLC|DL,1.0
255,0.1,LAS|MDW|WN,0.0
256,0.1,SJC|SNA|WN,0.0
257,0.1,LAX|SMF|WN,0.0
258,0.01,SLC|ATL|DL,0.0
259,0.1,DEN|ATL|DL,0.0
260,0.1,CLT|TPA|AA,0.0
261,0.01,ATL|DEN|DL,0.0
262,0.1,ATL|STL|DL,0.5
263,1e-06,STL|ATL|DL,1.0
264,0.1,PHL|ORD|AA,0.0
265,0.01,MSP|DTW|DL,0.0
266,0.1,DEN|LAX|UA,0.0
267,1e-06,DTW|MSP|DL,1.0
268,1e-06,ATL|LAS|DL,1.0
269,0.01,SFO|IAD|UA,1.0
270,0.1,SEA|LAX|DL,0.0
271,0.001,LAS|ATL|DL,1.0
272,0.1,MIA|LAX|AA,0.0
273,0.1,CLT|MIA|AA,0.0
274,0.01,LAX|SEA|DL,0.0
275,0.1,SEA|DFW|AA,0.0
276,0.1,ORD|PHL|AA,0.0
277,0.1,PHX|CLT|AA,0.0
278,0.1,MIA|CLT|AA,0.0
279,0.1,LAX|MIA|AA,0.0
280,0.001,CLT|PHX|AA,1.0
281,0.1,DFW|SEA|AA,0.0
282,0.01,PHL|CLT|AA,0.0
283,0.1,SFO|LAS|UA,0.0
284,0.1,MDW|MCO|WN,0.0
285,0.1,CLT|ATL|AA,0.0
286,0.1,LAX|SAN|OO,0.0
287,0.01,ATL|CLT|AA,0.0
288,0.1,LAS|SFO|UA,0.0
289,0.001,PVD|BWI|WN,1.0
290,0.01,MCO|MDW|WN,0.0
291,0.1,SAN|LAX|OO,0.0
292,0.1,SMF|LAS|WN,0.0
293,0.1,SLC|LAX|DL,0.0
294,0.1,LAS|SMF|WN,0.0
295,0.1,LAX|SLC|DL,0.0
296,0.1,BWI|PVD|WN,0.0
297,0.1,ATL|DFW|AA,0.0
298,0.1,SAN|SFO|UA,0.0
299,0.1,DFW|ATL|AA,0.0
300,0.1,JFK|BOS|B6,0.0
301,0.1,ATL|CLE|DL,0.0
302,1e-06,CLE|ATL|DL,1.0
303,0.1,BOS|JFK|B6,0.0
304,0.1,SNA|OAK|WN,0.0
305,0.01,MDW|ATL|DL,0.0
306,0.1,SFO|SEA|UA,0.0
307,0.1,DFW|BNA|AA,0.0
308,0.1,OAK|SNA|WN,0.5
309,0.1,BOS|DTW|DL,0.5
310,0.01,ATL|MDW|DL,0.0
311,0.1,SEA|SFO|UA,0.0
312,0.1,DTW|BOS|DL,0.0
313,0.1,STL|DFW|AA,0.0
314,0.1,BNA|DFW|AA,0.0
315,0.1,JFK|FLL|B6,0.0
316,0.1,DFW|STL|AA,0.0
317,0.1,DCA|CLT|AA,0.0
318,0.1,DCA|MDW|WN,0.0
319,0.1,MDW|DCA|WN,0.0
320,0.1,SEA|SFO|AS,0.0
321,1e-06,MDW|MCI|WN,0.0
322,0.1,MIA|SJU|AA,0.0
323,0.1,SJU|MIA|AA,0.0
